Date;Price;Volume
2022-09-15;28.61;3329500
2022-09-16;28.64;4656000
2022-09-19;28.96;3404000
2022-09-20;27.54;3145900
2022-09-21;26.86;3859200
2022-09-22;24.7;4346500
2022-09-23;25.04;3622400
2022-09-26;24.48;3440300
2022-09-27;26.13;4487200
2022-09-28;27.31;2630100
2022-09-29;25.46;4118200
2022-09-30;25.13;3148300
2022-10-03;25.38;2653900
2022-10-04;27.6;4581900
2022-10-05;26.39;2986400
2022-10-06;25.99;2418700
2022-10-07;25.35;3270600
2022-10-10;25.0;2917600
2022-10-11;25.27;4195900
2022-10-12;25.36;3284400
2022-10-13;25.56;3516200
2022-10-14;24.63;2773500
2022-10-17;25.96;3172200
2022-10-18;26.67;4402600
2022-10-19;24.54;5318400
2022-10-20;24.41;5148600
2022-10-21;25.3;3036300
2022-10-24;24.71;3114300
2022-10-25;26.87;7791600
2022-10-26;25.42;3858200
2022-10-27;25.93;2422900
2022-10-28;28.17;8089600
2022-10-31;28.31;24027600
2022-11-01;28.39;5147500
2022-11-02;26.62;4143900
2022-11-03;26.29;3384400
2022-11-04;26.51;4138000
2022-11-07;25.76;3303600
2022-11-08;25.14;4695100
2022-11-09;23.11;8464800
2022-11-10;24.88;6107000
2022-11-11;26.1;3986200
2022-11-14;26.05;4352200
2022-11-15;27.59;5392000
2022-11-16;27.14;2452300
2022-11-17;27.76;2477700
2022-11-18;27.6;3087400
2022-11-21;25.16;4443300
2022-11-22;26.3;4240400
2022-11-23;26.7;2737500
2022-11-25;26.17;1122700
2022-11-28;25.29;2440900
2022-11-29;25.6;2029500
2022-11-30;26.21;3731100
2022-12-01;26.6;7615200
2022-12-02;27.52;4577200
2022-12-05;25.56;4973700
2022-12-06;23.39;7699300
2022-12-07;22.26;10078200
2022-12-08;24.79;10252000
2022-12-09;22.63;5326700
2022-12-12;22.67;3750800
2022-12-13;21.0;6305600
2022-12-14;21.05;4604800
2022-12-15;20.58;6444500
2022-12-16;20.8;9379700
2022-12-19;19.92;3700600
2022-12-20;20.26;4479000
2022-12-21;20.56;2793600
2022-12-22;19.81;5343100
2022-12-23;20.08;3174800
2022-12-27;18.2;4233000
2022-12-28;17.92;5672000
2022-12-29;18.33;3442800
2022-12-30;18.46;2669500
2023-01-03;17.2;5135200
2023-01-04;17.32;3939300
2023-01-05;16.22;6066200
2023-01-06;16.46;4823400
2023-01-09;16.38;3522600
2023-01-10;17.77;4402800
2023-01-11;19.04;8405800
2023-01-12;20.63;5877300
2023-01-13;20.49;5494400
2023-01-17;21.8;5407900
2023-01-18;20.79;5632200
2023-01-19;19.04;4519200
2023-01-20;19.61;3564300
2023-01-23;21.66;7181500
2023-01-24;21.4;2381600
2023-01-25;20.23;3515800
2023-01-26;20.01;3520000
2023-01-27;22.82;11897200
2023-01-30;21.25;4950600
2023-01-31;21.87;3128400
2023-02-01;21.83;4517200
2023-02-02;22.7;7655700
2023-02-03;22.25;4935900
2023-02-06;23.86;8708400
2023-02-07;21.22;9093700
2023-02-08;21.1;2846400
2023-02-09;19.67;4497400
2023-02-10;19.27;2902700
2023-02-13;19.69;2299300
2023-02-14;19.87;2746300
2023-02-15;21.8;7137800
2023-02-16;21.6;3879000
2023-02-17;21.99;2851000
2023-02-21;20.66;3100300
2023-02-22;20.52;2164900
2023-02-23;20.14;2862000
2023-02-24;19.54;2277600
2023-02-27;19.1;4006700
2023-02-28;19.23;3373800
2023-03-01;18.15;4210100
2023-03-02;18.19;2622100
2023-03-03;18.7;2505500
2023-03-06;18.65;2815300
2023-03-07;18.06;2375300
2023-03-08;18.17;3277800
2023-03-09;17.52;2652600
2023-03-10;17.25;2845500
2023-03-13;16.75;2959100
2023-03-14;16.91;3077400
2023-03-15;15.95;4541500
2023-03-16;16.76;4083000
2023-03-17;16.6;5105500
2023-03-20;16.87;4463700
2023-03-21;17.65;15882900
2023-03-22;23.87;66764700
2023-03-23;22.58;11168900
2023-03-24;23.98;8756400
2023-03-27;23.0;4580800
2023-03-28;23.15;5711700
2023-03-29;22.46;4161400
2023-03-30;22.5;3477600
2023-03-31;23.02;3880300
2023-04-03;23.17;4274500
2023-04-04;22.35;3421500
2023-04-05;22.07;3638100
2023-04-06;22.4;2506900
2023-04-10;22.37;2176100
2023-04-11;22.69;2540000
2023-04-12;22.26;2141100
2023-04-13;22.55;1803900
2023-04-14;22.46;2312400
2023-04-17;22.28;2066600
2023-04-18;21.61;2748700
2023-04-19;21.31;2539500
2023-04-20;20.22;2977400
2023-04-21;20.49;2085900
2023-04-24;19.93;2742400
2023-04-25;19.0;2560800
2023-04-26;18.65;2287600
2023-04-27;18.94;2238900
